(u'correspondence', u'0')
(u'init_ckpt', u'/srv/glusterfs/xieya/tf_224_1/models/model.ckpt-239000')
(u'g_repeat', u'1')
(u'is_coco', u'1')
(u'restore_opt', u'1')
(u'with_caption', u'0')
(u'd_repeat', u'1')
(u'prior_boost', u'1')
(u'is_gan', u'0')
(u'batch_size', u'32')
(u'gan', u'0')
(u'is_rgb', u'0')
(u'image_size', u'224')
(u'gpus', u'0')
(u'gp_lambda', u'10')
(u'k', u'1')
(u'g_version', u'1')
(u'version', u'11')
(u'temp_trainable', u'0')
(u'alpha', u'0.01')
(u'weight_decay', u'0.001')
Discriminator has no correspondence.
Not using GAN.
Using prior boost.
Learning rate G: 4e-06 D: 0.0001
Adversarial weight 0.01
Generator version 1
Discriminator version 11
Gradient penalty 10.0.
Gradient norm 1.0.
Solver initialization done.
Graph constructed.
Session configured.
Initialized.
Init generator with /srv/glusterfs/xieya/tf_224_1/models/model.ckpt-239000.
2018-10-09 14:47:31.216489: step 0, G loss = 10999.21, new loss = -38.21(36.0 examples/sec; 0.888 sec/batch)
2018-10-09 14:47:50.250592: step 10, G loss = 10707.02, new loss = 313.28(17.3 examples/sec; 1.852 sec/batch)
2018-10-09 14:47:58.334751: step 20, G loss = 10592.20, new loss = -204.87(41.5 examples/sec; 0.770 sec/batch)
2018-10-09 14:48:06.259372: step 30, G loss = 10177.10, new loss = -120.00(42.9 examples/sec; 0.747 sec/batch)
2018-10-09 14:48:14.255335: step 40, G loss = 10473.43, new loss = 612.09(42.3 examples/sec; 0.756 sec/batch)
2018-10-09 14:48:22.357061: step 50, G loss = 10671.91, new loss = 34.18(42.3 examples/sec; 0.756 sec/batch)
2018-10-09 14:48:30.494232: step 60, G loss = 10673.50, new loss = -183.50(41.6 examples/sec; 0.769 sec/batch)
2018-10-09 14:48:38.566798: step 70, G loss = 10272.39, new loss = -970.14(42.3 examples/sec; 0.757 sec/batch)
2018-10-09 14:48:46.256041: step 80, G loss = 10753.46, new loss = 1798.89(44.1 examples/sec; 0.726 sec/batch)
2018-10-09 14:48:53.735572: step 90, G loss = 10631.56, new loss = 75.82(45.5 examples/sec; 0.703 sec/batch)
2018-10-09 14:49:00.761061: step 100, G loss = 10493.18, new loss = -18.94(48.1 examples/sec; 0.665 sec/batch)
2018-10-09 14:49:10.329491: step 110, G loss = 10833.57, new loss = 588.63(35.0 examples/sec; 0.915 sec/batch)
2018-10-09 14:49:18.647071: step 120, G loss = 10700.05, new loss = 180.58(41.2 examples/sec; 0.777 sec/batch)
2018-10-09 14:49:26.207734: step 130, G loss = 10635.18, new loss = -238.63(44.6 examples/sec; 0.718 sec/batch)
2018-10-09 14:49:33.556294: step 140, G loss = 10513.90, new loss = -460.98(45.9 examples/sec; 0.697 sec/batch)
2018-10-09 14:49:40.928517: step 150, G loss = 10808.44, new loss = -7.37(45.8 examples/sec; 0.698 sec/batch)
2018-10-09 14:49:48.404363: step 160, G loss = 10197.02, new loss = -303.50(45.1 examples/sec; 0.710 sec/batch)
2018-10-09 14:49:55.952943: step 170, G loss = 10507.25, new loss = -402.94(44.7 examples/sec; 0.716 sec/batch)
2018-10-09 14:50:01.790310: step 180, G loss = 10264.11, new loss = -288.04(57.3 examples/sec; 0.558 sec/batch)
